No	id	pw	name	birthday	gender	phone	membership	point	class	amount
1	user01	asdf12!	신승민	2003-10-13	여자	010-8415-4116	VVIP	3000	MP3 50 플러스	1831000
2	rudgns	qwe28!	민경훈	1994-02-28	남자	010-1478-9653	VIP	4200	MP3 30 플러스	533000
3	gmlduf	1234ff@	한희열	1992-03-27	남자	010-5641-8638	일반	3000	MP330	200000
4	eun04	q8608^	김가은	2004-09-11	여자	010-6541-8608	VIP	22900	MP3 100 플러스	703000
5	user6732	zzz123@	김철수	2002-11-02	남자	010-4563-6732	VVIP	43500	MP3 50 플러스	1050000
6	wjdtn07	asd987!	박정수	1989-07-07	남자	010-9524-6634	일반	37400	무제한 듣기	72000
7	user02	zxc25@	최건우	1995-03-25	남자	010-4748-4312	VIP	13000	무제한 듣기	846000
8	dlsgh	ho5168!	이인호	2003-11-11	남자	010-4648-5168	일반	5300	MP330	65000
9	soyoung	so!1127	신소영	2003-11-27	여자	010-1239-4964	일반	19700	MP3 30 플러스	110000
10	name96	wsx22!	김태연	1996-02-22	여자	010-3236-5497	일반	39300	MP330	94000
11	you06	fine!06	유재석	2002-01-06	남자	010-2564-8948	VIP	3100	MP3 50 플러스	898000
12	user03	b0525!	김태완	1989-05-25	남자	010-3256-9874	일반	43600	MP3 100 플러스	42000
13	woo93	zxcv123!	우도환	1993-12-09	남자	010-7945-6432	VVIP	47800	MP3 30 플러스	1842000
14	ji89	df89^^	지창욱	1989-11-25	남자	010-9804-4642	일반	5800	MP3 100 플러스	82000
15	kim96	qw1234!	김태희	1996-12-08	여자	010-4097-5364	일반	40100	MP3 30 플러스	211000
16	tpwns	asd0405!	임세준	1999-04-05	남자	010-7498-7454	VIP	49000	MP3 30 플러스	751000
17	lee03	qeqe12!	이재석	2003-07-12	남자	010-4878-7489	일반	43700	MP3 100 플러스	85000
18	user04	sdf234!	김은미	1998-12-15	여자	010-4564-0523	VIP	16800	MP3 50 플러스	523000
19	kim82	n7435@	김동연	1982-08-12	남자	010-9489-7435	일반	5000	MP3 50 플러스	56000
20	dong	soo24!	김동수	2002-03-24	남자	010-8978-4564	일반	45000	무제한 듣기	76000
21	kimsang	wasd333^	김상희	1986-04-05	여자	010-7894-4333	일반	15100	MP330	73000
22	jung00	haha00!	정준하	2000-01-10	남자	010-7845-5646	VVIP	25000	MP3 100 플러스	1617000
23	song	zxc123^	송지효	2001-06-13	여자	010-8974-5064	일반	35200	MP3 50 플러스	60000
24	jisoo	soo86!	정지수	1986-07-14	남자	010-8979-3346	VIP	23000	MP3 100 플러스	870000
25	user05	www94^	김영교	1994-04-18	남자	010-4934-0163	일반	13100	MP330	39000
26	user06	gayong6!	윤가영	1996-11-16	여자	010-4646-1004	일반	48200	MP3 100 플러스	51000
27	hong3	as0416!	홍주영	1984-09-05	여자	010-6463-0416	일반	49900	MP3 50 플러스	292000
28	tjwns	zxc83!	이서준	1983-06-24	남자	010-8094-9864	일반	34100	MP3 30 플러스	187000
29	hoon30	b100!@!@	백종훈	1996-07-30	남자	010-2486-3226	일반	19200	MP3 50 플러스	387000
30	jin02	jin0110^	김상진	2002-01-10	남자	010-6215-1258	일반	28700	MP330	68000
31	youjin	seo!1234	서유진	2000-06-12	여자	010-2336-2548	VVIP	21400	MP3 50 플러스	1796000
32	fe91	ok1717@	박성철	1991-08-17	남자	010-5697-1548	VIP	8400	MP3 100 플러스	821000
33	zoo	aasd26!	손주형	1996-04-26	남자	010-8526-1879	일반	26900	MP3 30 플러스	298000
34	yena	park89^	박예나	1989-12-05	여자	010-1193-6842	일반	36300	MP3 100 플러스	97000
35	user07	jung01@	김현정	2001-02-19	여자	010-3548-9892	일반	34000	MP3 100 플러스	64000
36	na97	na0714!	나성환	1997-07-24	남자	010-3947-6975	VIP	39300	MP3 50 플러스	878000
37	hun96	cxz321!	정재훈	1996-05-14	남자	010-4817-5742	일반	24200	무제한 듣기	214000
38	son12	qwer03^	손현아	2003-03-26	여자	010-5998-9283	일반	5300	MP330	329000
39	user08	jun00@	최준영	2000-12-26	남자	010-1287-3452	일반	8700	MP330	85000
40	hwang	kkk!666	황재용	1989-04-22	남자	010-8865-3597	일반	33100	MP330	303000
